date,CF,FG,MA,OI,RM,SR,TA,ZC
20160427,0.953337297223,0.770217701205,1.23011879229,1.04858899795,1.72213453564,1.33718770144,1.38765160678,0.939001608632
20160428,0.947962149717,0.763308080799,1.2445038791,1.04017341854,1.71097421563,1.335585796,1.40838210431,0.939976337374
20160429,0.948190513547,0.759975221261,1.24976634308,1.03592317993,1.68576774966,1.33247335335,1.40064110384,0.932937800183
20160503,0.938953842827,0.758854694942,1.25391608314,1.0463109884,1.70509646435,1.33355001405,1.3997530023,0.923147326411
20160504,0.933432132408,0.757853433232,1.25102856878,1.05132734532,1.72819544204,1.32936745806,1.39432774834,0.920662360994
20160505,0.931753932469,0.759278804547,1.26738606013,1.05783597119,1.74152421198,1.32769085908,1.41448119422,0.9218718137
20160506,0.957675677088,0.760070921039,1.28294360266,1.07546850893,1.78425796608,1.34113089979,1.38812554951,0.909021969502
20160509,0.952786356698,0.765156586804,1.27189035538,1.08423667993,1.75925265127,1.33476379868,1.36714707795,0.919573836633
20160510,0.950241890702,0.768731479171,1.2924365732,1.09051742298,1.71592041934,1.3321148431,1.36306381444,0.927237370113
20160511,0.949725786339,0.769925811909,1.28743088256,1.10134260882,1.66467397717,1.33042571566,1.36298545354,0.923102410918
20160512,0.962688522688,0.762765124451,1.28705328808,1.0936141376,1.64577965095,1.3199324296,1.36227673839,0.925357339343
20160513,0.982429910093,0.772129329791,1.31468478752,1.11925136561,1.65706674151,1.32605366077,1.37158388827,0.949063146119
20160516,0.983897526019,0.785986068311,1.32050338022,1.12352767191,1.6775308905,1.32498198632,1.37140538603,0.947833337687
20160517,0.979618094079,0.787952942309,1.31792003666,1.12869413683,1.65852407292,1.32300155178,1.37449041636,0.977174993445
20160518,0.970745052967,0.790894375343,1.31905925518,1.14633784406,1.6074520271,1.31974550249,1.38475030727,0.978046519208
20160519,0.966600872763,0.783774926323,1.29710651429,1.14201843686,1.603607466,1.31286601072,1.3719036327,0.962534450106
20160520,0.961019115576,0.791397858343,1.29955844382,1.14197858701,1.58375533899,1.3156784191,1.37400219377,0.962904970515
20160523,0.947620426744,0.815346989116,1.30376639464,1.17432781028,1.62684094953,1.32102779448,1.38875106279,0.950707510936
20160524,0.949899956381,0.808308463106,1.30008367291,1.17684788451,1.60172684827,1.32198809472,1.38555050573,0.952213590234
20160525,0.940365123592,0.806604193354,1.28764923871,1.17559210288,1.59883690827,1.3189441251,1.39123992067,0.94197632506
20160526,0.961252015715,0.808546509135,1.29038989332,1.17822410275,1.58843853476,1.31883148865,1.3922443645,0.945361683805
20160527,0.961727754188,0.80845415701,1.28279976426,1.18188655388,1.6123120716,1.32065561185,1.38174232603,0.942364441689
20160530,0.970946978792,0.828628296802,1.27946152804,1.18856967348,1.65399705532,1.32893353069,1.38345266052,0.957349808661
20160531,0.997360280253,0.828628296802,1.26910914238,1.20685046391,1.65632926401,1.33192711712,1.38383561771,0.95206292449
20160601,0.996379646303,0.823414828477,1.27313368511,1.20713693829,1.65725272667,1.32564270493,1.38572395295,0.949189473371
20160602,0.991579463932,0.808073859818,1.28195595353,1.21080498251,1.72581655116,1.32346500034,1.3862234249,0.952908817136
20160603,0.99208296127,0.80164793748,1.27901181851,1.19101931579,1.69810225042,1.33140910511,1.36324502293,0.950081370522
20160606,0.99601682774,0.792858703226,1.28419892857,1.1900151626,1.68712635452,1.32017219159,1.3574279104,0.946459409518
20160607,0.991455189491,0.786027066806,1.29145320805,1.20333555418,1.67598220892,1.31680602422,1.36869812813,0.946074072917
20160608,0.993652074853,0.783324606145,1.28759471493,1.20162811717,1.67476784535,1.31790843289,1.36752428293,0.941089431146
20160613,0.98307086829,0.775868117758,1.27882462196,1.20675725639,1.6758160781,1.29645775279,1.3646087014,0.941566160123
20160614,0.987868081496,0.779398238731,1.26974369823,1.20160344972,1.68735949796,1.29660676192,1.37282560404,0.959657602859
20160615,0.983235232258,0.778375984374,1.27180041804,1.20122802245,1.67035748157,1.29919254472,1.35959591813,0.95943159029
20160616,0.987371028002,0.782614013401,1.26737058559,1.19755727667,1.71715962499,1.29526842321,1.35715736245,0.956599406585
20160617,0.99497699577,0.782587499025,1.27128838535,1.18529591903,1.71330383529,1.30610995722,1.34473746659,0.958880221758
20160620,0.994926217319,0.779321287394,1.26554264561,1.18557717551,1.69805836514,1.29224448501,1.32278575836,0.958172979277
20160621,1.01690775349,0.780930263445,1.27689014248,1.19896044915,1.68063278365,1.29245012584,1.31878319963,0.96286548522
20160622,1.02741174648,0.780018060234,1.28798138601,1.20806755998,1.69788658303,1.29240296149,1.32726496912,0.961328934822
20160623,1.02004028979,0.778826635125,1.29073479161,1.21409137532,1.71239153523,1.2907944487,1.33369814085,0.961995187137
20160624,1.01484079261,0.782817751948,1.27135285367,1.20887000098,1.69126848824,1.28497505752,1.33228572023,0.961995187137
20160627,1.00810104476,0.780520977073,1.29584173646,1.22366813372,1.72530987115,1.29291907364,1.31753936091,0.95500450068
20160628,0.991566282308,0.776698232964,1.28559641652,1.2158731685,1.70814937482,1.27670165118,1.31411458893,0.958202031245
20160629,0.974828942144,0.768613549542,1.28559641652,1.21519210416,1.70514031366,1.28126936708,1.30225774278,0.964236946382
20160630,0.974927961008,0.786766197401,1.27591651044,1.21893823172,1.73277729564,1.31596829867,1.28925453432,0.96744853805
20160701,0.966531011023,0.780524689154,1.2711095763,1.20923022039,1.7079983145,1.31893060487,1.29199937069,0.974171739756
20160704,1.00356963997,0.772357392361,1.28407073009,1.21045625858,1.71031840993,1.332851621,1.31034161112,0.988472593208
